dataset_id,snr,snr_c,fdm_lite,psi_lite,iqi_spec,delta_lambda_over_fwhm,delta_bic,p_doublet,peak_nm,prep_stability,p_boundary
pubchem::28780,1972,300,5.57333,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,41,300,-0.863333,0.05,0.123342,,,,,0.95,0.05
pubchem::28780,832,300,1.77333,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,832,300,1.77333,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,1972,300,5.57333,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,1972,300,5.57333,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,41,300,-0.863333,0.05,0.123342,,,,,0.95,0.05
pubchem::28780,41,300,-0.863333,0.05,0.123342,,,,,0.95,0.05
pubchem::28780,0.1,300,-0.999667,0.05,0.000300833,,,,,0.95,0.05
pubchem::28780,0.1,300,-0.999667,0.05,0.000300833,,,,,0.95,0.05
pubchem::28780,1,300,-0.996667,0.05,0.00300833,,,,,0.95,0.05
pubchem::28780,,300,,0.05,,,124,1,,0.95,0.05
pubchem::28780,,300,,0.05,,,124,1,,0.95,0.05
pubchem::28780,2,300,-0.993333,0.05,0.00601667,,,,,0.95,0.05
pubchem::28780,,300,,0.05,,,,,294,0.95,0.05
pubchem::28780,,300,,0.05,,,124,1,,0.95,0.05
pubchem::28780,,300,,0.05,,,124,1,,0.95,0.05
pubchem::28780,1983,300,5.61,0.05,0.9025,,,,,0.95,0.05
pubchem::28780,3,300,-0.99,0.05,0.009025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,31,300,-0.896667,0.05,0.0932583,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,27,0.999999,,0.95,0.05
pubchem::29393,,300,,0.05,,,27,0.999999,,0.95,0.05
pubchem::29393,,300,,0.05,,,27,0.999999,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,,300,,0.05,,,7,0.970688,,0.95,0.05
pubchem::29393,10,300,-0.966667,0.05,0.0300833,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,50,1,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,2024,300,5.74667,0.05,0.9025,,,,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
pubchem::29393,,300,,0.05,,,5,0.924142,,0.95,0.05
