dataset_id,source_file,doi,title,year,technique_tag
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
europepmc::41381485,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1038/s41467-025-67319-x,Biocompatible sulfonium-based covalent probes for endogenous tubulin fluorescence nanoscopy in live and fixed cells.,2025,fluorescence
europepmc::34692217,data\raw\public_api\20260425T115542Z\europepmc_microtubule_spectroscopy.json,10.1364/boe.433240,Disassembly of microtubules by intense terahertz pulses.,2021,thz
openalex::https://openalex.org/W7155451423,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,None,Engineering quantum optical responses of microtubules through tryptophan-network simulations and ultraviolet spectroscopy,2026,spectroscopy
openalex::https://openalex.org/W7155179759,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,10.48550/arxiv.2604.18604,Engineering quantum optical responses of microtubules through tryptophan-network simulations and ultraviolet spectroscopy,2026,spectroscopy
openalex::https://openalex.org/W2806195630,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,10.1038/s41467-018-04535-8,A fluorescence anisotropy assay to discover and characterize ligands targeting the maytansine site of tubulin,2018,fluorescence
openalex::https://openalex.org/W2076434742,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,10.1117/1.1646416,Fluorescence correlation spectroscopy investigation of a GFP mutant-enhanced cyan fluorescent protein and its tubulin fusion in living cells with two-photon excitation,2004,fluorescence
openalex::https://openalex.org/W4206416225,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,10.1016/j.bpr.2021.100043,Fano resonance line shapes in the Raman spectra of tubulin and microtubules reveal quantum effects,2022,raman
openalex::https://openalex.org/W4400047106,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,10.3390/nano14131093,Raman Spectroscopy Reveals Photobiomodulation-Induced α-Helix to β-Sheet Transition in Tubulins: Potential Implications for Alzheimer’s and Other Neurodegenerative Diseases,2024,raman
openalex::https://openalex.org/W4386034288,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,10.1063/5.0158302,Intracavity dynamics-based gain-assisted sensing with microtubule Raman microlaser,2023,raman
openalex::https://openalex.org/W3103776640,data\raw\public_api\20260425T115542Z\openalex_microtubule_quantum.json,10.1101/351098,Microtubule Probe for Correlative Super-Resolution Fluorescence and Electron Microscopy,2018,fluorescence
